Year,Motivation,Laureate ID,Laureate Type,Full Name,Birth Country,Birth Year,Age,Sex,Organization Name,Chemistry,Economics,Literature,Medicine,Peace,Physics,Share 1/1,Share 1/2,Share 1/3,Share 1/4
1907,"""for his biochemical researches and his discovery of cell-free fermentation""",166,0,Eduard Buchner,Bavaria (Germany),1860.0,47.0,0.0,Landwirtschaftliche Hochschule (Agricultural College),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1907,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",577,0,Rudyard Kipling,British India (India),1865.0,42.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1907,"""in recognition of his work on the role played by protozoa in causing diseases""",300,0,Charles Louis Alphonse Laveran,France,1845.0,62.0,0.0,Institut Pasteur,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1907,,471,0,Ernesto Teodoro Moneta,Austrian Empire (Italy),1833.0,74.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1907,,472,0,Louis Renault,France,1843.0,64.0,0.0,Sorbonne University,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1907,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",11,0,Albert Abraham Michelson,Prussia (Poland),1852.0,55.0,0.0,University of Chicago,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1908,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",167,0,Ernest Rutherford,New Zealand,1871.0,37.0,0.0,Victoria University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1908,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",578,0,Rudolf Christoph Eucken,East Friesland (Germany),1846.0,62.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1908,"""in recognition of their work on immunity""",301,0,Ilya Ilyich Mechnikov,Russian Empire (Ukraine),1845.0,63.0,0.0,Institut Pasteur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1908,"""in recognition of their work on immunity""",302,0,Paul Ehrlich,Prussia (Poland),1854.0,54.0,0.0,Goettingen University,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1908,,473,0,Klas Pontus Arnoldson,Sweden,1844.0,64.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1908,,474,0,Fredrik Bajer,Denmark,1837.0,71.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1908,"""for his method of reproducing colours photographically based on the phenomenon of interference""",12,0,Gabriel Lippmann,Luxembourg,1845.0,63.0,0.0,Sorbonne University,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1909,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",168,0,Wilhelm Ostwald,Russian Empire (Latvia),1853.0,56.0,0.0,Leipzig University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1909,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",579,0,Selma Ottilia Lovisa Lagerlöf,Sweden,1858.0,51.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1909,"""for his work on the physiology, pathology and surgery of the thyroid gland""",303,0,Emil Theodor Kocher,Switzerland,1841.0,68.0,0.0,Berne University,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1909,,475,0,Auguste Marie François Beernaert,Belgium,1829.0,80.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1909,,476,0,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",France,1852.0,57.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1909,"""in recognition of their contributions to the development of wireless telegraphy""",13,0,Guglielmo Marconi,Italy,1874.0,35.0,0.0,Marconi Wireless Telegraph Co. Ltd.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1909,"""in recognition of their contributions to the development of wireless telegraphy""",14,0,Karl Ferdinand Braun,Hesse-Kassel (Germany),1850.0,59.0,0.0,Strasbourg University,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1910,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",169,0,Otto Wallach,Germany (Russia),1847.0,63.0,0.0,Goettingen University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1910,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",580,0,Paul Johann Ludwig Heyse,Prussia (Germany),1830.0,80.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1910,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""",304,0,Albrecht Kossel,Mecklenburg (Germany),1853.0,57.0,0.0,University of Heidelberg,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1910,"""for his work on the equation of state for gases and liquids""",15,0,Johannes Diderik van der Waals,Netherlands,1837.0,73.0,0.0,Amsterdam University,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1911,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",581,0,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,Belgium,1862.0,49.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1911,"""for his work on the dioptrics of the eye""",305,0,Allvar Gullstrand,Sweden,1862.0,49.0,0.0,Uppsala University,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1911,,478,0,Tobias Michael Carel Asser,Netherlands,1838.0,73.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1911,,479,0,Alfred Hermann Fried,Austria,1864.0,47.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1911,"""for his discoveries regarding the laws governing the radiation of heat""",16,0,Wilhelm Wien,Prussia (Russia),1864.0,47.0,0.0,Würzburg University,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1912,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",172,0,Victor Grignard,France,1871.0,41.0,0.0,Nancy University,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1912,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",173,0,Paul Sabatier,France,1854.0,58.0,0.0,Toulouse University,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1912,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",582,0,Gerhart Johann Robert Hauptmann,Prussia (Germany),1862.0,50.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1912,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",306,0,Alexis Carrel,France,1873.0,39.0,0.0,Rockefeller Institute for Medical Research,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1912,,480,0,Elihu Root,United States of America,1845.0,67.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1912,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",17,0,Nils Gustaf Dalén,Sweden,1869.0,43.0,0.0,Swedish Gas-Accumulator Co.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1913,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",174,0,Alfred Werner,France,1866.0,47.0,0.0,University of Zurich,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1913,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",583,0,Rabindranath Tagore,India,1861.0,52.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1913,"""in recognition of his work on anaphylaxis""",307,0,Charles Robert Richet,France,1850.0,63.0,0.0,Sorbonne University,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1913,,481,0,Henri La Fontaine,Belgium,1854.0,59.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1913,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",18,0,Heike Kamerlingh Onnes,Netherlands,1853.0,60.0,0.0,Leiden University,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1914,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",175,0,Theodore William Richards,United States of America,1868.0,46.0,0.0,Harvard University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1914,"""for his work on the physiology and pathology of the vestibular apparatus""",308,0,Robert Bárány,Austria,1876.0,38.0,0.0,Vienna University,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1914,"""for his discovery of the diffraction of X-rays by crystals""",19,0,Max von Laue,Germany,1879.0,35.0,0.0,Frankfurt-on-the-Main University,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1915,"""for his researches on plant pigments, especially chlorophyll""",176,0,Richard Martin Willstätter,Germany,1872.0,43.0,0.0,Munich University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1915,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",584,0,Romain Rolland,France,1866.0,49.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1915,"""for their services in the analysis of crystal structure by means of X-rays""",20,0,Sir William Henry Bragg,United Kingdom,1862.0,53.0,0.0,University College,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1915,"""for their services in the analysis of crystal structure by means of X-rays""",21,0,William Lawrence Bragg,Australia,1890.0,25.0,0.0,Victoria University,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1916,"""in recognition of his significance as the leading representative of a new era in our literature""",585,0,Carl Gustaf Verner von Heidenstam,Sweden,1859.0,57.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1917,"""for his varied and rich poetry, which is inspired by lofty ideals""",586,0,Karl Adolph Gjellerup,Denmark,1857.0,60.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1917,"""for his authentic descriptions of present-day life in Denmark""",587,0,Henrik Pontoppidan,Denmark,1857.0,60.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1917,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",22,0,Charles Glover Barkla,United Kingdom,1877.0,40.0,0.0,Edinburgh University,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1918,"""for the synthesis of ammonia from its elements""",177,0,Fritz Haber,Prussia (Poland),1868.0,50.0,0.0,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1918,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",23,0,Max Karl Ernst Ludwig Planck,Schleswig (Germany),1858.0,60.0,0.0,Berlin University,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1919,"""in special appreciation of his epic, <I>Olympian Spring</I>""",588,0,Carl Friedrich Georg Spitteler,Switzerland,1845.0,74.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1919,"""for his discoveries relating to immunity""",309,0,Jules Bordet,Belgium,1870.0,49.0,0.0,Brussels University,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1919,,483,0,Thomas Woodrow Wilson,United States of America,1856.0,63.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1919,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",24,0,Johannes Stark,Germany,1874.0,45.0,0.0,Greifswald University,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1920,"""in recognition of his work in thermochemistry""",178,0,Walther Hermann Nernst,Prussia (Germany),1864.0,56.0,0.0,Berlin University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1920,"""for his monumental work, <I>Growth of the Soil</I>""",589,0,Knut Pedersen Hamsun,Norway,1859.0,61.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1920,"""for his discovery of the capillary motor regulating mechanism""",310,0,Schack August Steenberg Krogh,Denmark,1874.0,46.0,0.0,Copenhagen University,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1920,,484,0,Léon Victor Auguste Bourgeois,France,1851.0,69.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1920,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",25,0,Charles Edouard Guillaume,Switzerland,1861.0,59.0,0.0,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1921,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",179,0,Frederick Soddy,United Kingdom,1877.0,44.0,0.0,University of Oxford,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1921,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament""",590,0,Anatole France,France,1844.0,77.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1921,,485,0,Karl Hjalmar Branting,Sweden,1860.0,61.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1921,,486,0,Christian Lous Lange,Norway,1869.0,52.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1921,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""",26,0,Albert Einstein,Germany,1879.0,42.0,0.0,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1922,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",180,0,Francis William Aston,United Kingdom,1877.0,45.0,0.0,University of Cambridge,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1922,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",592,0,Jacinto Benavente,Spain,1866.0,56.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1922,"""for his discovery relating to the production of heat in the muscle""",311,0,Archibald Vivian Hill,United Kingdom,1886.0,36.0,0.0,London University,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1922,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",312,0,Otto Fritz Meyerhof,Germany,1884.0,38.0,0.0,Kiel University,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1922,,487,0,Fridtjof Nansen,Norway,1861.0,61.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1922,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",27,0,Niels Henrik David Bohr,Denmark,1885.0,37.0,0.0,Copenhagen University,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1923,"""for his invention of the method of micro-analysis of organic substances""",181,0,Fritz Pregl,Austria-Hungary (Slovenia),1869.0,54.0,0.0,Graz University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1923,"""for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation""",593,0,William Butler Yeats,Ireland,1865.0,58.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1923,"""for the discovery of insulin""",313,0,Frederick Grant Banting,Canada,1891.0,32.0,0.0,University of Toronto,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1923,"""for the discovery of insulin""",314,0,John James Rickard Macleod,Scotland,1876.0,47.0,0.0,University of Toronto,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1923,"""for his work on the elementary charge of electricity and on the photoelectric effect""",28,0,Robert Andrews Millikan,United States of America,1868.0,55.0,0.0,California Institute of Technology (Caltech),0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1924,"""for his great national epic, <I>The Peasants</I>""",594,0,Wladyslaw Stanislaw Reymont,Russian Empire (Poland),1867.0,57.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1924,"""for his discovery of the mechanism of the electrocardiogram""",315,0,Willem Einthoven,"Java, Dutch East Indies (Indonesia)",1860.0,64.0,0.0,Leiden University,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1924,"""for his discoveries and research in the field of X-ray spectroscopy""",29,0,Karl Manne Georg Siegbahn,Sweden,1886.0,38.0,0.0,Uppsala University,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1925,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry""",182,0,Richard Adolf Zsigmondy,Austrian Empire (Austria),1865.0,60.0,0.0,Goettingen University,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1925,"""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty""",596,0,George Bernard Shaw,Ireland,1856.0,69.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
